id_venta,id_producto,nombre_producto,cantidad,precio_unitario,importe
69,76,Pizza Congelada Muzzarella,4,4286,17144
69,74,Whisky 750ml,3,2953,8859
70,66,Cerveza Negra 1L,3,1533,4599
70,89,Caldo Concentrado Verdura,4,1003,4012
70,38,Mermelada de Frutilla 400g,3,1584,4752
71,11,Café Molido 250g,3,2053,6159
71,79,Hamburguesas Congeladas x4,4,2420,9680
71,100,Trapo de Piso,4,4854,19416
71,92,Crema Dental 90g,1,2512,2512
72,94,Hilo Dental,3,1418,4254
72,41,Aceite de Girasol 1L,4,860,3440
72,51,Sal Fina 500g,2,1745,3490
73,28,Papas Fritas Clásicas 100g,1,936,936
73,24,Galletitas Chocolate,3,1305,3915
73,19,Manteca 200g,1,3251,3251
74,32,Chocolate Amargo 100g,3,2234,6702
74,14,Leche Entera 1L,2,1723,3446
74,55,Shampoo 400ml,2,1407,2814
75,3,Sprite 1.5L,4,4964,19856
75,2,Pepsi 1.5L,5,4973,24865
76,22,Medialunas de Manteca,4,2069,8276
76,23,Bizcochos Salados,4,2380,9520
76,24,Galletitas Chocolate,1,1305,1305
76,11,Café Molido 250g,2,2053,4106
77,53,Lavandina 1L,2,1664,3328
77,41,Aceite de Girasol 1L,1,860,860
77,34,Turrón 50g,5,503,2515
77,98,Desengrasante 500ml,2,2843,5686
77,39,Helado Vainilla 1L,2,469,938
78,37,Mermelada de Durazno 400g,3,3196,9588
78,79,Hamburguesas Congeladas x4,5,2420,12100
78,17,Queso Cremoso 500g,2,4834,9668
78,85,Jugo en Polvo Naranja,1,1856,1856
78,39,Helado Vainilla 1L,2,469,938
79,81,Aceitunas Verdes 200g,2,2520,5040
79,56,Papel Higiénico x4,2,2532,5064
80,39,Helado Vainilla 1L,5,469,2345
80,30,Maní Salado 200g,3,4875,14625
80,41,Aceite de Girasol 1L,5,860,4300
81,10,Yerba Mate Intensa 1kg,2,4883,9766
82,38,Mermelada de Frutilla 400g,1,1584,1584
82,28,Papas Fritas Clásicas 100g,2,936,1872
82,29,Papas Fritas Onduladas 100g,5,1868,9340
82,82,Aceitunas Negras 200g,2,2394,4788
83,5,Agua Mineral 500ml,2,4777,9554
83,26,Alfajor Triple,2,1001,2002
83,73,Gin 700ml,5,1561,7805
83,51,Sal Fina 500g,2,1745,3490
84,83,Queso Untable 190g,5,1830,9150
84,76,Pizza Congelada Muzzarella,4,4286,17144
85,32,Chocolate Amargo 100g,4,2234,8936
85,80,Helado de Frutilla 1L,2,1981,3962
86,66,Cerveza Negra 1L,2,1533,3066
86,1,Coca Cola 1.5L,4,2347,9388
86,13,Té Verde 20 saquitos,5,2383,11915
86,41,Aceite de Girasol 1L,3,860,2580
87,53,Lavandina 1L,2,1664,3328
87,86,Jugo en Polvo Limón,2,4090,8180
88,7,Jugo de Manzana 1L,5,3269,16345
88,53,Lavandina 1L,5,1664,8320
88,8,Energética Nitro 500ml,4,4218,16872
89,72,Ron 700ml,2,3876,7752
90,79,Hamburguesas Congeladas x4,4,2420,9680
90,6,Jugo de Naranja 1L,2,4170,8340
91,57,Servilletas x100,3,4520,13560
92,10,Yerba Mate Intensa 1kg,2,4883,9766
92,43,Salsa de Tomate 500g,4,887,3548
93,80,Helado de Frutilla 1L,4,1981,7924
93,66,Cerveza Negra 1L,3,1533,4599
93,91,Desodorante Aerosol,3,4690,14070
94,24,Galletitas Chocolate,1,1305,1305
94,86,Jugo en Polvo Limón,5,4090,20450
94,98,Desengrasante 500ml,2,2843,5686
95,72,Ron 700ml,5,3876,19380
95,12,Té Negro 20 saquitos,1,570,570
96,81,Aceitunas Verdes 200g,3,2520,7560
96,68,Vino Blanco 750ml,1,2684,2684
96,11,Café Molido 250g,2,2053,4106
96,50,Azúcar 1kg,3,727,2181
97,59,Chicle Menta,5,3612,18060
97,36,Dulce de Leche 400g,1,2559,2559
97,4,Fanta Naranja 1.5L,3,2033,6099
98,28,Papas Fritas Clásicas 100g,4,936,3744
98,61,Miel Pura 250g,1,4982,4982
98,29,Papas Fritas Onduladas 100g,1,1868,1868
98,83,Queso Untable 190g,3,1830,5490
99,40,Helado Chocolate 1L,5,1215,6075
100,13,Té Verde 20 saquitos,3,2383,7149
100,18,Queso Rallado 150g,4,3444,13776
100,58,Caramelos Masticables,2,4752,9504
100,57,Servilletas x100,1,4520,4520
100,9,Yerba Mate Suave 1kg,4,3878,15512
101,34,Turrón 50g,4,503,2012
102,78,Verduras Congeladas Mix,3,4289,12867
102,36,Dulce de Leche 400g,3,2559,7677
103,79,Hamburguesas Congeladas x4,5,2420,12100
103,43,Salsa de Tomate 500g,5,887,4435
103,34,Turrón 50g,1,503,503
103,70,Fernet 750ml,1,4061,4061
104,95,Mascarilla Capilar,2,1581,3162
104,68,Vino Blanco 750ml,3,2684,8052
104,68,Vino Blanco 750ml,5,2684,13420
105,13,Té Verde 20 saquitos,2,2383,4766
105,4,Fanta Naranja 1.5L,4,2033,8132
105,58,Caramelos Masticables,2,4752,9504
105,82,Aceitunas Negras 200g,4,2394,9576
105,43,Salsa de Tomate 500g,5,887,4435
106,88,Caldo Concentrado Carne,3,2570,7710
107,7,Jugo de Manzana 1L,4,3269,13076
107,11,Café Molido 250g,2,2053,4106
107,12,Té Negro 20 saquitos,4,570,2280
107,5,Agua Mineral 500ml,4,4777,19108
108,90,Toallas Húmedas x50,4,2902,11608
109,18,Queso Rallado 150g,1,3444,3444
109,74,Whisky 750ml,1,2953,2953
109,20,Pan Lactal Blanco,2,1571,3142
109,44,Arroz Largo Fino 1kg,5,2979,14895
110,6,Jugo de Naranja 1L,1,4170,4170
110,59,Chicle Menta,3,3612,10836
110,6,Jugo de Naranja 1L,5,4170,20850
111,97,Limpiavidrios 500ml,4,872,3488
111,93,Cepillo de Dientes,3,2142,6426
111,20,Pan Lactal Blanco,2,1571,3142
111,23,Bizcochos Salados,4,2380,9520
112,55,Shampoo 400ml,1,1407,1407
112,21,Pan Lactal Integral,4,272,1088
112,43,Salsa de Tomate 500g,5,887,4435
112,13,Té Verde 20 saquitos,2,2383,4766
112,59,Chicle Menta,1,3612,3612
113,53,Lavandina 1L,2,1664,3328
113,92,Crema Dental 90g,3,2512,7536
114,8,Energética Nitro 500ml,1,4218,4218
114,84,Queso Azul 150g,1,1645,1645
114,10,Yerba Mate Intensa 1kg,1,4883,4883
114,55,Shampoo 400ml,5,1407,7035
114,92,Crema Dental 90g,4,2512,10048
115,17,Queso Cremoso 500g,4,4834,19336
115,97,Limpiavidrios 500ml,5,872,4360
115,95,Mascarilla Capilar,4,1581,6324
115,84,Queso Azul 150g,2,1645,3290
116,65,Cerveza Rubia 1L,1,2423,2423
116,35,Barrita de Cereal 30g,2,4430,8860
116,42,Vinagre de Alcohol 500ml,4,1195,4780
116,54,Jabón de Tocador,5,1592,7960
116,90,Toallas Húmedas x50,4,2902,11608
117,67,Vino Tinto Malbec 750ml,4,4719,18876
117,61,Miel Pura 250g,2,4982,9964
118,68,Vino Blanco 750ml,5,2684,13420
118,68,Vino Blanco 750ml,3,2684,8052
118,70,Fernet 750ml,2,4061,8122
118,93,Cepillo de Dientes,3,2142,6426
118,50,Azúcar 1kg,2,727,1454
119,45,Fideos Spaghetti 500g,5,745,3725
120,20,Pan Lactal Blanco,5,1571,7855
